Recipe_ID,Dish_Name,Cuisine,Meal_Type,Diet_Type,Ingredients,Step_1,Step_2,Step_3,Step_4
1,Sushi Roll,Japanese,Snack,Vegetarian,"rice, nori, fish, nori, vinegar, cucumber","Step 1: Prepare ingredients by cleaning and chopping: rice, nori.",Step 2: Heat oil in a steamer and boil rice for 5 minutes.,"Step 3: Add nori and fish to the pot, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
2,Massaman Curry,Thai,Lunch,Gluten-Free,"beef, potato, coconut milk","Step 1: Prepare ingredients by cleaning and chopping: beef, potato.",Step 2: Heat oil in a wok and simmer beef for 5 minutes.,"Step 3: Add potato and coconut milk to the pot, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
3,Chow Mein,Chinese,Breakfast,Non-Vegetarian,"noodles, vegetables, soy sauce","Step 1: Prepare ingredients by cleaning and chopping: noodles, vegetables.",Step 2: Heat oil in a pan and roast noodles for 5 minutes.,"Step 3: Add vegetables and soy sauce to the pot, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
4,Margherita Pizza,Italian,Breakfast,Vegan,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a pot and grill cheese for 5 minutes.,"Step 3: Add tomato and basil to the pan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
5,Penne Arrabbiata,Italian,Breakfast,Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a steamer and steam penne for 5 minutes.,"Step 3: Add tomato and garlic to the saucepan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
6,Teriyaki Chicken,Japanese,Dinner,Vegan,"chicken, soy sauce, sugar","Step 1: Prepare ingredients by cleaning and chopping: chicken, soy sauce.",Step 2: Heat oil in a grill and fry chicken for 5 minutes.,"Step 3: Add soy sauce and sugar to the wok, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
7,Ramen,Japanese,Dinner,Non-Vegetarian,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
8,Rajma Chawal,Indian,Lunch,Non-Vegetarian,"kidney beans, rice, tomato, garam masala, bay leaf, coriander","Step 1: Prepare ingredients by cleaning and chopping: kidney beans, rice.",Step 2: Heat oil in a wok and simmer kidney beans for 5 minutes.,"Step 3: Add rice and tomato to the steamer, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
9,Chili Con Carne,Mexican,Lunch,Non-Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a wok and blanch beef for 5 minutes.,"Step 3: Add beans and tomato to the saucepan, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
10,Risotto Milanese,Italian,Dinner,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a pan and simmer rice for 5 minutes.,"Step 3: Add saffron and cheese to the skillet, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
